branch_id,tag,policy,rule,jerk,adoption_index,adoption_target_m,t_info,v_adopt,m_true_adopt,m_est_adopt,m_target_adopt,later_event,event_index,steps_after_adopt,v_event,d_true_event,event_type,m_true_pre,m_est_pre,m_target_pre,event_class,max_abs_innovation_m,buffered_reason,buffered_feasible,estimated_line_reason,estimated_line_feasible,true_line_reason,true_line_feasible
460eb1b0b877,v6_formal_v22,runs/v4r_s1/v4_pilot/supervised/final_nets.pt,cons,2.0,13,100.0000000000002,143.0,15.850378354465303,69.79777507184897,81.07972357763055,56.74533449509595,True,31,18,4.721138020764619,13.424196704526366,fallback,10.158440175671902,7.791907077421414,-0.24539865242190384,terminal,7.07039382721814,stop_distance_infeasible,False,feasible,True,feasible,True
4613735256cc,v6_formal_v22,constant,cons,4.0,11,120.0000000000002,142.0,18.979027770921032,69.7250277067066,91.92311453218018,63.74214373424992,False,,,,,,,,,,,,,,,,
46815ddb2e68,v6_formal_v22,runs/v4r_s2/v4_pilot/supervised/final_nets.pt,cons,4.0,21,44.0000000000002,147.0,11.294992791853044,32.9079790004146,42.72086134346992,27.56267315592107,False,,,,,,,,,,,,,,,,
46d25895a9ab,v6_formal_v22,constant,min,2.0,13,89.0000000000002,143.0,22.026662908352186,17.778353789123656,23.2537662725355,1.7792152843976794,False,,,,,,,,,,,,,,,,
47b62ca4436c,v6_formal_v22,runs/v4r/v4_pilot/supervised/final_nets.pt,cons,3.0,16,78.0000000000002,144.5,14.639800175836534,52.999767620416655,49.53894989929275,31.48148480230305,True,30,14,3.863502601843453,14.923915843439772,fallback,12.023847352359784,4.443606882141895,-3.013332118979667,terminal,10.095022373185657,stop_distance_infeasible,False,feasible,True,feasible,True
49b8f4cd0a0f,v6_formal_v22,runs/v4r_s2/v4_pilot/supervised/final_nets.pt,cons,3.0,19,56.0000000000002,146.0,12.541248002467874,37.95629796985246,39.19205354222166,23.532639445817985,False,,,,,,,,,,,,,,,,
4a88ced791f5,v6_formal_v22,runs/v4r_s1/v4_pilot/supervised/final_nets.pt,early,4.0,5,,139.0,22.22222222222222,111.14631538681886,103.82916090223523,70.94749510023328,True,30,25,3.539740256266662,15.00813659493042,fallback,12.581203232903691,4.345149656566081,-3.001768315442841,terminal,12.761254770179676,stop_distance_infeasible,False,feasible,True,feasible,True
4d2d1dfade40,v6_formal_v22,runs/v4r_s1/v4_pilot/supervised/final_nets.pt,min,2.0,14,89.0000000000002,143.5,16.323917729987038,55.69279527590526,58.67153425079473,37.647561488202264,True,31,17,3.480888444313103,14.149295226146478,fallback,11.11369363597056,5.573957271915326,-2.044168190721818,terminal,10.579027165569187,stop_distance_infeasible,False,feasible,True,feasible,True
51530343203d,v6_formal_v22,runs/v4r_s2/v4_pilot/supervised/final_nets.pt,cons,3.0,17,67.0000000000002,145.0,12.937271076567898,51.35707247505279,47.383289856128584,30.588897574724605,False,,,,,,,,,,,,,,,,
52952a3c7ec2,v6_formal_v22,runs/v4r_s2/v4_pilot/supervised/final_nets.pt,cons,2.0,8,150.0000000000002,140.5,20.460110512194376,87.33243398438863,88.98440269672854,59.550210036936036,True,28,20,7.576964895594968,19.712196881089312,fallback,9.30954293408864,9.390938714941704,-0.14637255151925999,later_highspeed,14.07624183832013,stop_distance_infeasible,False,feasible,True,feasible,True
