[constant|stop|j3|min_d150|mini] 到终 True 违规 0 线前停 True 时间 76.0 E 70 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/0 | 采纳 d158 v16.0 M+115 (2s)
[constant|stop|j3|min_d120|mini] 到终 True 违规 0 线前停 True 时间 76.0 E 70 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/0 | 采纳 d126 v16.0 M+83 (2s)
[constant|stop|j3|min_d100|mini] 到终 True 违规 0 线前停 True 时间 76.0 E 70 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/0 | 采纳 d102 v16.0 M+59 (2s)
[constant|stop|j3|min_d89|mini] 到终 True 违规 0 线前停 True 时间 73.0 E 72 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/4 | 采纳 d94 v16.0 M+51 (2s)
[constant|stop|j3|min_d78|mini] 到终 True 违规 0 线前停 True 时间 73.0 E 73 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/4 | 采纳 d86 v16.0 M+43 (2s)
[constant|stop|j3|min_d67|mini] 到终 True 违规 0 线前停 True 时间 73.0 E 76 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/0 | 采纳 d70 v16.0 M+27 (2s)
[constant|stop|j3|min_d56|mini] 到终 True 违规 0 线前停 True 时间 73.0 E 78 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/0 | 采纳 d62 v16.0 M+19 (2s)
[constant|stop|j3|min_d44|mini] 到终 True 违规 0 线前停 True 时间 73.0 E 80 | 准备最大减速 0.54 v@cue 15.728091158380266 | 高速平顺 False 回退 3/5 | 采纳 d46 v15.4 M+9 (2s)
[constant|stop|j3|min_d32|mini] 到终 True 违规 0 线前停 True 时间 73.0 E 80 | 准备最大减速 0.74 v@cue 15.359652439470057 | 高速平顺 False 回退 3/5 | 采纳 d39 v13.6 M+12 (2s)
[constant|stop|j4|early|cons] 到终 True 违规 0 线前停 True 时间 72.5 E 69 | 准备最大减速 0.00 v@cue None | 高速平顺 True 回退 0/0 | 采纳 d174 v16.0 M+134 (2s)
[constant|stop|j4|cons_d150|cons] 到终 True 违规 0 线前停 True 时间 72.5 E 69 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/0 | 采纳 d158 v16.0 M+118 (2s)
[constant|stop|j4|cons_d120|cons] 到终 True 违规 0 线前停 True 时间 72.5 E 69 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/0 | 采纳 d126 v16.0 M+86 (1s)
[constant|stop|j4|cons_d100|cons] 到终 True 违规 0 线前停 True 时间 72.5 E 69 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/0 | 采纳 d102 v16.0 M+62 (1s)
[constant|stop|j4|cons_d89|cons] 到终 True 违规 0 线前停 True 时间 72.5 E 69 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/0 | 采纳 d94 v15.7 M+56 (1s)
[constant|stop|j4|cons_d78|cons] 到终 True 违规 0 线前停 True 时间 72.5 E 69 | 准备最大减速 2.00 v@cue 14.728897446422323 | 高速平顺 True 回退 0/0 | 采纳 d79 v13.5 M+53 (1s)
[constant|stop|j4|cons_d67|cons] 到终 True 违规 0 线前停 True 时间 72.5 E 69 | 准备最大减速 2.47 v@cue 13.494380411967896 | 高速平顺 True 回退 0/0 | 采纳 d72 v13.3 M+45 (1s)
[constant|stop|j4|cons_d56|cons] 到终 True 违规 0 线前停 True 时间 72.5 E 69 | 准备最大减速 2.47 v@cue 13.15360015895378 | 高速平顺 True 回退 0/0 | 采纳 d59 v12.8 M+35 (1s)
[constant|stop|j4|cons_d44|cons] 到终 True 违规 0 线前停 True 时间 72.5 E 69 | 准备最大减速 2.47 v@cue 12.183427727143677 | 高速平顺 True 回退 0/0 | 采纳 d47 v11.8 M+26 (2s)
[constant|stop|j4|cons_d32|cons] 到终 True 违规 0 线前停 True 时间 72.5 E 69 | 准备最大减速 2.47 v@cue 10.902171053557991 | 高速平顺 True 回退 0/0 | 采纳 d36 v9.7 M+23 (1s)
[constant|stop|j4|min_d150|mini] 到终 True 违规 0 线前停 True 时间 72.5 E 69 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/0 | 采纳 d158 v16.0 M+118 (2s)
[constant|stop|j4|min_d120|mini] 到终 True 违规 0 线前停 True 时间 72.5 E 69 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/0 | 采纳 d126 v16.0 M+86 (2s)
[constant|stop|j4|min_d100|mini] 到终 True 违规 0 线前停 True 时间 72.5 E 69 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/0 | 采纳 d102 v16.0 M+62 (2s)
[constant|stop|j4|min_d89|mini] 到终 True 违规 0 线前停 True 时间 84.5 E 76 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/4 | 采纳 d94 v16.0 M+54 (2s)
[constant|stop|j4|min_d78|mini] 到终 True 违规 0 线前停 True 时间 72.5 E 74 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/0 | 采纳 d86 v16.0 M+46 (2s)
[constant|stop|j4|min_d67|mini] 到终 True 违规 0 线前停 True 时间 73.0 E 74 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/2 | 采纳 d70 v16.0 M+30 (2s)
[constant|stop|j4|min_d56|mini] 到终 True 违规 0 线前停 True 时间 73.0 E 79 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/2 | 采纳 d62 v16.0 M+22 (2s)
[constant|stop|j4|min_d44|mini] 到终 True 违规 0 线前停 True 时间 72.5 E 80 | 准备最大减速 0.28 v@cue 15.858818444889039 | 高速平顺 False 回退 3/0 | 采纳 d46 v15.5 M+9 (2s)
[constant|stop|j4|min_d32|mini] 到终 True 违规 0 线前停 True 时间 72.5 E 80 | 准备最大减速 0.64 v@cue 15.539049515791618 | 高速平顺 False 回退 3/0 | 采纳 d38 v13.8 M+11 (2s)
[constant|pass|j2|early|cons] 到终 True 违规 0 线前停 False 时间 35.0 E 58 | 准备最大减速 0.00 v@cue None | 高速平顺 True 回退 0/0 | 采纳 d182 v16.0 M+135 (1s)
[constant|pass|j2|cons_d150|cons] 到终 True 违规 0 线前停 False 时间 35.0 E 58 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/0 | 采纳 d158 v16.0 M+111 (1s)
[constant|pass|j2|cons_d120|cons] 到终 True 违规 0 线前停 False 时间 35.0 E 58 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/0 | 采纳 d126 v16.0 M+79 (1s)
[constant|pass|j2|cons_d100|cons] 到终 True 违规 0 线前停 False 时间 35.0 E 58 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/0 | 采纳 d102 v16.0 M+55 (1s)
[constant|pass|j2|cons_d89|cons] 到终 True 违规 0 线前停 False 时间 35.0 E 58 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/0 | 采纳 d94 v16.0 M+47 (1s)
[constant|pass|j2|cons_d78|cons] 到终 True 违规 0 线前停 False 时间 35.0 E 58 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/0 | 采纳 d86 v15.5 M+47 (1s)
[constant|pass|j2|cons_d67|cons] 到终 True 违规 0 线前停 False 时间 35.0 E 59 | 准备最大减速 1.74 v@cue 14.63209893261995 | 高速平顺 True 回退 0/0 | 采纳 d71 v13.8 M+41 (1s)
[constant|pass|j2|cons_d56|cons] 到终 True 违规 0 线前停 False 时间 36.0 E 61 | 准备最大减速 2.34 v@cue 12.678640422209682 | 高速平顺 True 回退 0/0 | 采纳 d58 v11.7 M+37 (1s)
[constant|pass|j2|cons_d44|cons] 到终 True 违规 0 线前停 False 时间 36.0 E 61 | 准备最大减速 2.34 v@cue 10.764010013923253 | 高速平顺 True 回退 0/0 | 采纳 d47 v10.3 M+29 (1s)
[constant|pass|j2|cons_d32|cons] 到终 True 违规 0 线前停 False 时间 36.0 E 61 | 准备最大减速 2.34 v@cue 10.294275447282471 | 高速平顺 True 回退 0/0 | 采纳 d37 v10.6 M+11 (1s)
[constant|pass|j2|min_d150|mini] 到终 True 违规 0 线前停 False 时间 35.0 E 58 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/0 | 采纳 d158 v16.0 M+111 (1s)
[constant|pass|j2|min_d120|mini] 到终 True 违规 0 线前停 False 时间 35.0 E 58 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/0 | 采纳 d126 v16.0 M+79 (1s)
[constant|pass|j2|min_d100|mini] 到终 True 违规 0 线前停 False 时间 35.0 E 58 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/0 | 采纳 d102 v16.0 M+55 (1s)
[constant|pass|j2|min_d89|mini] 到终 True 违规 0 线前停 False 时间 35.0 E 58 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/0 | 采纳 d94 v16.0 M+47 (1s)
[constant|pass|j2|min_d78|mini] 到终 True 违规 0 线前停 False 时间 35.0 E 58 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/0 | 采纳 d86 v16.0 M+39 (1s)
[constant|pass|j2|min_d67|mini] 到终 True 违规 0 线前停 False 时间 35.0 E 58 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/0 | 采纳 d70 v16.0 M+23 (1s)
