branch_id,tag,policy,jerk,adoption,event,trigger,subclass,e,e_propagation,e_update,margin_propagated,margin_updated,innovation_identity_error,v_trigger,a_trigger,d_previous,d_after,crossed15,response,override_flag,post_adoption_override_flag,post_adoption_realized_jerk,realized_jerk,actual_exceedance
0548319f4a0b,v6_formal_v22,constant,4.0,14,16,15,highspeed_update,-3.073505867666796,0.3433423253011121,-3.416848192967908,2.0299749673467034,-0.5825050201700748,1.3322676295501878e-15,20.475483619814945,-2.7467386024072766,90.66388023666318,77.0092902337878,False,16,0,0,1.5043399771041805,1.5043399771041805,False
072dcca48582,v6_formal_v22,runs/v4r_s1/v4_pilot/supervised/final_nets.pt,2.0,11,32,31,highspeed_update,-1.831973954655579,-0.05226901831699671,-1.7797049363385824,0.38689528594880507,-1.1702825755084376,4.440892098500626e-16,5.263141838254295,0.4181521465348942,19.83789807930954,15.42662222384381,False,32,0,0,0.8363042930697884,0.8363042930697884,False
073391fa95e9,v6_formal_v22,runs/v4r_s1/v4_pilot/supervised/final_nets.pt,4.0,14,31,30,freeze_crossing,-6.029284697891168,0.111887328852462,-6.14117202674363,3.172172645491889,-1.952719347715604,8.881784197001252e-16,5.7235495638459195,-0.8950986308190156,19.90549788619658,10.902551077529992,True,31,1,1,5.209802738361969,5.209802738361969,True
0cb4ac07cddb,v6_formal_v22,runs/v4r_s1/v4_pilot/supervised/final_nets.pt,2.0,8,41,40,creep,-0.0062367446855331465,-0.006236744685533348,2.0122792321330962e-16,0.004722223921555534,-0.0005790090611480399,3.9985376121265404e-16,0.07543647466393684,0.049893957485932255,7.1180477780435405,7.080329540711572,False,41,0,0,0.256789432214245,0.256789432214245,False
10646af7b13d,v6_formal_v22,constant,3.0,13,27,26,freeze_crossing,-3.65780883638301,0.16902811822193886,-3.826836954604949,2.2097151252736644,-0.8994223856518939,0.0,5.243322903775846,-1.3522249457772535,17.840170616964745,11.391672210471873,True,27,1,1,3.7865887123557727,3.7865887123557727,True
10e1cd662c48,v6_formal_v22,runs/v4r_s2/v4_pilot/supervised/final_nets.pt,2.0,10,41,40,creep,-0.005605193133686015,-0.005605193133685835,-1.8041124150158794e-16,0.004755810737395817,-8.603426237117906e-06,1.7780915628762273e-16,0.07462119591112745,0.04484154506770109,7.118071416251499,7.080760818295935,False,41,0,0,0.24055079521654518,0.24055079521654518,False
11ba507fe3bf,v6_formal_v22,runs/v4r_s1/v4_pilot/supervised/final_nets.pt,3.0,8,31,30,freeze_crossing,-4.258968297942053,0.10861337171856711,-4.36758166966062,1.91103234977263,-1.7090907034781155,8.881784197001252e-16,5.217986309404257,-0.8689069737476345,17.73622789220817,10.759653067845422,True,31,1,1,5.262186052504731,5.262186052504731,True
1300f8288caf,v6_formal_v22,runs/v4r_s2/v4_pilot/supervised/final_nets.pt,2.0,5,28,27,highspeed_update,-2.2446561118971218,-0.04250895214874317,-2.2021471597483786,1.7615851435932939,-0.14637255151925999,4.440892098500626e-16,7.576964895594968,0.3400716171890803,29.572704717285617,23.582075109739755,False,28,0,0,0.6801432343781606,0.6801432343781606,False
149d42957188,v6_formal_v22,runs/v4r_s2/v4_pilot/supervised/final_nets.pt,4.0,16,26,25,freeze_crossing,-5.414112676973659,0.16869345310956207,-5.58280613008322,2.8932082487068973,-1.7087875267207133,8.881784197001252e-16,5.432995532288898,-1.3495476248782623,18.63429037406734,10.33498647783967,True,26,1,1,4.300904750243475,4.300904750243475,True
1699c052af5c,v6_formal_v22,runs/v4r_s2/v4_pilot/supervised/final_nets.pt,3.0,14,16,15,highspeed_update,-3.119888256134118,0.31221490721529577,-3.4321031633494137,2.0258597577865203,-0.62604525992748,0.0,20.474502964501475,-2.497719257720746,90.70152733496019,77.03217268936004,False,16,0,0,1.9851585882701954,1.9851585882701954,False
