工况 0: 到达 False 违规 0 弯道超速 0 end_x 1555.7 时间 600.0 停车时长 519.0
25 x 268 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.05, 141) 灯 (0.04, 77) 终 (0.05, 31) 解 (0.03, 97) | 感知 unknown 真绿 True 目标 [] fb False
26 x 279 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.05, 110) 灯 (0.02, 46) 终 (0.04, 51) 解 (0.04, 54) | 感知 unknown 真绿 True 目标 [] fb False
27 x 290 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.1, 141) 灯 (0.05, 76) 终 (0.14, 57) 解 (0.04, 72) | 感知 unknown 真绿 True 目标 [] fb False
28 x 301 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.08, 162) 灯 (0.05, 85) 终 (0.07, 48) 解 (0.04, 106) | 感知 unknown 真绿 True 目标 [] fb False
29 x 312 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.05, 146) 灯 (0.04, 71) 终 (0.05, 53) 解 (0.03, 63) | 感知 unknown 真绿 True 目标 [] fb False
30 x 323 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.06, 127) 灯 (0.05, 91) 终 (0.04, 40) 解 (0.03, 138) | 感知 unknown 真绿 True 目标 [] fb False
31 x 334 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.03, 133) 灯 (0.03, 56) 终 (0.07, 54) 解 (0.03, 138) | 感知 unknown 真绿 True 目标 [] fb False
32 x 345 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.07, 157) 灯 (0.03, 74) 终 (0.05, 40) 解 (0.04, 77) | 感知 unknown 真绿 True 目标 [] fb False
33 x 357 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.07, 121) 灯 (0.05, 76) 终 (0.06, 45) 解 (0.03, 92) | 感知 unknown 真绿 True 目标 [] fb False
34 x 368 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.08, 140) 灯 (0.02, 76) 终 (0.05, 39) 解 (0.04, 141) | 感知 unknown 真绿 True 目标 [] fb False
35 x 379 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.04, 172) 灯 (0.03, 80) 终 (0.05, 51) 解 (0.04, 88) | 感知 unknown 真绿 True 目标 [] fb False
36 x 390 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.06, 187) 灯 (0.04, 76) 终 (0.05, 39) 解 (0.03, 62) | 感知 unknown 真绿 True 目标 [] fb False
37 x 401 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.07, 140) 灯 (0.04, 62) 终 (0.06, 43) 解 (0.03, 126) | 感知 unknown 真绿 True 目标 [] fb False
38 x 412 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.1, 151) 灯 (0.04, 64) 终 (0.06, 44) 解 (0.02, 69) | 感知 unknown 真绿 True 目标 [] fb False
39 x 423 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.07, 169) 灯 (0.03, 91) 终 (0.08, 45) 解 (0.03, 59) | 感知 unknown 真绿 True 目标 [] fb False
40 x 434 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.04, 141) 灯 (0.02, 43) 终 (0.05, 49) 解 (0.03, 55) | 感知 unknown 真绿 True 目标 [] fb False
41 x 445 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.04, 137) 灯 (0.02, 63) 终 (0.06, 39) 解 (0.06, 59) | 感知 unknown 真绿 True 目标 [] fb False
42 x 457 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.12, 111) 灯 (0.02, 43) 终 (0.05, 94) 解 (0.03, 60) | 感知 unknown 真绿 True 目标 [] fb False
43 x 468 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.11, 161) 灯 (0.04, 87) 终 (0.1, 53) 解 (0.06, 96) | 感知 unknown 真绿 True 目标 [] fb False
44 x 479 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.06, 135) 灯 (0.04, 43) 终 (0.13, 61) 解 (0.03, 74) | 感知 unknown 真绿 True 目标 [] fb False
45 x 490 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.07, 127) 灯 (0.02, 42) 终 (0.03, 38) 解 (0.05, 78) | 感知 unknown 真绿 True 目标 [] fb False
46 x 501 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.05, 147) 灯 (0.03, 11) 终 (0.06, 54) 解 (0.03, 74) | 感知 unknown 真绿 True 目标 [] fb False
47 x 512 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.04, 156) 灯 (0.02, 41) 终 (0.07, 44) 解 (0.03, 78) | 感知 unknown 真绿 True 目标 [] fb False
48 x 523 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.03, 147) 灯 (0.02, 71) 终 (0.03, 42) 解 (0.03, 84) | 感知 unknown 真绿 True 目标 [] fb False
49 x 534 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.11, 159) 灯 (0.04, 72) 终 (0.1, 46) 解 (0.03, 142) | 感知 unknown 真绿 True 目标 [] fb False
50 x 545 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.07, 123) 灯 (0.04, 66) 终 (0.04, 38) 解 (0.02, 62) | 感知 unknown 真绿 True 目标 [] fb False
51 x 557 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.08, 158) 灯 (0.03, 37) 终 (0.04, 50) 解 (0.04, 122) | 感知 unknown 真绿 True 目标 [] fb False
