工况 8: 到达 False 违规 1 弯道超速 0 end_x 3000.9 时间 152.0 停车时长 0.0
0 x 0 v 16.0 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.12, 123) 灯 (0.04, 67) 终 (0.07, 97) 解 (0.05, 88) | 感知 unknown 真绿 False 目标 [] fb False
1 x 8 v 16.5 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.21, 137) 灯 (0.04, 67) 终 (0.05, 115) 解 (0.06, 84) | 感知 unknown 真绿 False 目标 [] fb False
2 x 17 v 17.5 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.05, 131) 灯 (0.03, 65) 终 (0.04, 100) 解 (0.04, 89) | 感知 unknown 真绿 False 目标 [] fb False
3 x 26 v 18.8 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.08, 134) 灯 (0.02, 67) 终 (0.14, 134) 解 (0.04, 80) | 感知 unknown 真绿 False 目标 [] fb False
4 x 35 v 20.1 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.08, 141) 灯 (0.04, 65) 终 (0.13, 105) 解 (0.04, 87) | 感知 unknown 真绿 False 目标 [] fb False
5 x 46 v 21.3 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.21, 144) 灯 (0.03, 67) 终 (0.11, 94) 解 (0.04, 71) | 感知 unknown 真绿 False 目标 [] fb False
6 x 57 v 22.0 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.08, 141) 灯 (0.04, 66) 终 (0.04, 98) 解 (0.05, 82) | 感知 unknown 真绿 False 目标 [] fb False
7 x 68 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.12, 121) 灯 (0.03, 65) 终 (0.05, 87) 解 (0.04, 96) | 感知 unknown 真绿 False 目标 [] fb False
8 x 79 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.12, 180) 灯 (0.03, 89) 终 (0.07, 159) 解 (0.04, 96) | 感知 unknown 真绿 False 目标 [] fb False
9 x 90 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.06, 154) 灯 (0.03, 68) 终 (0.09, 149) 解 (0.04, 80) | 感知 unknown 真绿 False 目标 [] fb False
10 x 101 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.12, 144) 灯 (0.02, 68) 终 (0.04, 99) 解 (0.04, 85) | 感知 unknown 真绿 False 目标 [] fb False
