工况 2: 到达 False 违规 1 弯道超速 0 end_x 3000.3 时间 153.5 停车时长 0.0
22 x 234 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.08, 136) 灯 (0.03, 64) 终 (0.05, 105) 解 (0.03, 90) | 感知 unknown 真绿 False 目标 [] fb False
23 x 245 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.11, 144) 灯 (0.03, 66) 终 (0.04, 94) 解 (0.03, 95) | 感知 unknown 真绿 False 目标 [] fb False
24 x 257 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.1, 129) 灯 (0.03, 60) 终 (0.05, 105) 解 (0.03, 86) | 感知 unknown 真绿 False 目标 [] fb False
25 x 268 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.13, 148) 灯 (0.03, 69) 终 (0.03, 80) 解 (0.03, 95) | 感知 unknown 真绿 False 目标 [] fb False
26 x 279 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.07, 137) 灯 (0.03, 65) 终 (0.07, 112) 解 (0.03, 96) | 感知 unknown 真绿 False 目标 [] fb False
27 x 290 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.1, 136) 灯 (0.02, 66) 终 (0.09, 125) 解 (0.04, 91) | 感知 unknown 真绿 False 目标 [] fb False
28 x 301 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.12, 133) 灯 (0.03, 64) 终 (0.03, 95) 解 (0.03, 91) | 感知 unknown 真绿 False 目标 [] fb False
29 x 312 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.12, 145) 灯 (0.03, 67) 终 (0.07, 94) 解 (0.03, 88) | 感知 unknown 真绿 False 目标 [] fb False
30 x 323 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.06, 137) 灯 (0.03, 64) 终 (0.07, 112) 解 (0.03, 85) | 感知 unknown 真绿 False 目标 [] fb False
31 x 334 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.09, 131) 灯 (0.03, 61) 终 (0.03, 81) 解 (0.03, 89) | 感知 unknown 真绿 False 目标 [] fb False
32 x 345 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.09, 130) 灯 (0.03, 61) 终 (0.04, 82) 解 (0.03, 88) | 感知 unknown 真绿 False 目标 [] fb False
33 x 357 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.07, 149) 灯 (0.04, 68) 终 (0.06, 105) 解 (0.03, 89) | 感知 unknown 真绿 False 目标 [] fb False
34 x 368 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.12, 143) 灯 (0.03, 69) 终 (0.05, 105) 解 (0.04, 90) | 感知 unknown 真绿 False 目标 [] fb False
35 x 379 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.06, 141) 灯 (0.03, 70) 终 (0.09, 114) 解 (0.03, 91) | 感知 unknown 真绿 False 目标 [] fb False
36 x 390 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.08, 137) 灯 (0.03, 65) 终 (0.05, 103) 解 (0.04, 94) | 感知 unknown 真绿 False 目标 [] fb False
