tag,info,jerk,branch_id,target_m,t_entry_200,t_info,delay_actual_s,delay_distance_s,observed_delta_time_s,lp_reference_floor_s,lp_reference_ceil_s,lp_reference_interp_s,residual_floor_s,residual_ceil_s,residual_interp_s
v6_formal_v22,min,3.0,016d04b50a9e,44.0000000000002,138.39377169240686,145.5,7.106228307593142,6.903755236358559,0.9441055947764028,0.45345773917202453,0.7687134417903665,0.520435898668491,0.49064785560437824,0.17539215298603628,0.4236696961079117
v6_formal_v22,cons,3.0,03037c0e900f,150.0000000000002,138.39377169240686,140.5,2.106228307593142,2.0640428716360497,0.27675000000002115,0.0,0.0,0.0,0.27675000000002115,0.27675000000002115,0.27675000000002115
v6_formal_v22,min,2.0,03e6d0dd779d,78.0000000000002,138.39377169240686,143.5,5.106228307593142,5.102343457744287,0.012089713154409765,0.0,0.008124065816372893,0.001726011524897177,0.012089713154409765,0.003965647338036872,0.010363701629512587
v6_formal_v22,cons,4.0,058f42ecccc6,44.0000000000002,138.39377169240686,146.5,8.106228307593142,6.574774288010767,3.030653683945104,1.0340924507591192,1.494572030286316,1.1319243835878705,1.996561233185985,1.5360816536587882,1.8987293003572336
v6_formal_v22,cons,4.0,11ca28e1bc02,150.0000000000002,138.39377169240686,140.5,2.106228307593142,2.0567340797446065,0.20918312248750226,0.0,0.0,0.0,0.20918312248750226,0.20918312248750226,0.20918312248750226
v6_formal_v22,min,4.0,1f22516654fe,56.0000000000002,138.39377169240686,144.5,6.106228307593142,6.0701915599079985,0.32302650057306437,0.02343602343602381,0.15349359580128855,0.051067615040093106,0.29959047713704057,0.16953290477177582,0.27195888553297126
v6_formal_v22,min,3.0,2dd4679ae924,67.0000000000002,138.39377169240686,144.0,5.606228307593142,5.59369194906511,0.05283476527199582,0.0008330200637899418,0.04208023438792805,0.00959626360495952,0.05200174520820588,0.010754530884067769,0.0432385016670363
v6_formal_v22,min,4.0,36406a728f4b,67.0000000000002,138.39377169240686,144.0,5.606228307593142,5.597657471284486,0.02895860379734927,0.0,0.02343602343602381,0.004979138212644036,0.02895860379734927,0.005522580361325458,0.023979465584705234
v6_formal_v22,min,3.0,38c2777edc1e,120.0000000000002,138.39377169240686,141.5,3.106228307593142,3.1062314138246103,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v6_formal_v22,cons,2.0,3e4a111baf0a,44.0000000000002,138.39377169240686,146.5,8.106228307593142,6.576723345841127,3.173047036524764,1.4190381690381695,,,1.7540088674865946,,
v6_formal_v22,cons,3.0,3eaaf697ab02,78.0000000000002,138.39377169240686,144.0,5.606228307593142,5.035883421519716,1.2296935417039379,0.0008330200637899418,0.04208023438792805,0.00959626360495952,1.2288605216401478,1.1876133073160098,1.2200972780989783
v6_formal_v22,cons,3.0,3fa830e57a68,120.0000000000002,138.39377169240686,142.0,3.606228307593142,3.376276125697567,0.28746529085879047,0.0,0.0,0.0,0.28746529085879047,0.28746529085879047,0.28746529085879047
v6_formal_v22,cons,2.0,423adcdc9e68,120.0000000000002,138.39377169240686,142.0,3.606228307593142,3.38209483697052,0.436021547826698,0.0,0.0,0.0,0.436021547826698,0.436021547826698,0.436021547826698
v6_formal_v22,min,3.0,44dfd19cee0f,56.0000000000002,138.39377169240686,144.5,6.106228307593142,6.063145175695105,0.5651509136052368,0.04208023438792805,0.20815262481929103,0.0773634123348704,0.5230706792173088,0.3569982887859458,0.4877875012703664
v6_formal_v22,min,2.0,471e391ca8ab,150.0000000000002,138.39377169240686,140.5,2.106228307593142,2.106230413823592,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v6_formal_v22,min,2.0,4aecb6037a4b,100.0000000000002,138.39377169240686,142.5,4.106228307593142,4.106232413825628,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v6_formal_v22,cons,4.0,4ff0f0c1c3cf,56.0000000000002,138.39377169240686,145.5,7.106228307593142,6.022617999133613,2.2199943277528007,0.36297086297086223,0.6574716574716588,0.4255395049401728,1.8570234647819386,1.562522670281142,1.7944548228126278
