seed,condition,adoption_found,episode_jerk_override,t_info,v,a,phase,d_true,d_est,backup_distance,release_margin,m_true,m_est,target_distance,m_target
0,0,True,True,139.0,22.22222222222222,0.0,red,186.5282598312633,179.2111053466797,84.86805555555559,22.22222222222222,101.66020427570773,94.3430497911241,146.3282598312635,61.46020427570791
0,1,True,False,140.5,21.819016257507933,-0.8064119294285774,red,178.2203401282418,158.12298583984375,75.67263409723013,21.819016257507933,102.54770603101166,82.45035174261362,128.4203401282416,52.747706031011475
0,2,True,True,140.0,22.22222222222222,0.0,green,174.68191982319286,184.82272338867188,84.86805555555559,22.22222222222222,89.81386426763727,99.95466783311629,,
0,3,True,False,139.5,22.22222222222222,0.0,red,179.96530601457835,191.01072692871094,84.86805555555559,22.22222222222222,95.09725045902276,106.14267137315535,156.36530601457844,71.49725045902285
0,4,True,False,139.5,22.22222222222222,0.0,red,175.3272825191534,185.93922424316406,84.86805555555559,22.22222222222222,90.45922696359783,101.07116868760848,152.02728251915323,67.15922696359765
0,5,True,True,140.0,22.22222222222222,0.0,green,177.81462746721854,181.6095733642578,84.86805555555559,22.22222222222222,92.94657191166296,96.74151780870223,,
0,6,True,False,139.5,22.22222222222222,0.0,red,183.81319156529207,183.09518432617188,84.86805555555559,22.22222222222222,98.94513600973649,98.22712877061629,149.61319156529225,64.74513600973667
0,7,True,False,139.5,22.22222222222222,0.0,yellow,184.96367585546432,120.65240478515625,84.86805555555559,22.22222222222222,100.09562029990873,35.784349229600664,96.56367585546423,11.69562029990864
0,8,True,True,139.0,22.22222222222222,0.0,green,181.84055216575598,189.06813049316406,84.86805555555559,22.22222222222222,96.9724966102004,104.20007493760848,,
1,0,True,False,139.0,22.22222222222222,0.0,red,186.51274728138605,179.2111053466797,84.86805555555559,22.22222222222222,101.64469172583047,94.3430497911241,146.31274728138624,61.44469172583065
1,1,True,False,140.5,21.831209486557377,-0.782025471329689,red,178.220166088081,158.12298583984375,75.89820883464485,21.831209486557377,102.32195725343614,82.2247770051989,128.4201660880808,52.52195725343596
1,2,True,False,140.0,22.22222222222222,0.0,green,174.66062077095467,184.82272338867188,84.86805555555559,22.22222222222222,89.79256521539908,99.95466783311629,,
1,3,True,False,139.5,22.22222222222222,0.0,red,179.94748306349993,191.01072692871094,84.86805555555559,22.22222222222222,95.07942750794435,106.14267137315535,156.34748306350002,71.47942750794444
1,4,True,False,139.5,22.22222222222222,0.0,red,175.31265513103335,185.93922424316406,84.86805555555559,22.22222222222222,90.44459957547777,101.07116868760848,152.01265513103317,67.14459957547759
1,5,True,False,140.0,22.22222222222222,0.0,green,177.7966793374453,181.6095733642578,84.86805555555559,22.22222222222222,92.92862378188973,96.74151780870223,,
1,6,True,False,139.5,22.22222222222222,0.0,red,183.7836247915202,183.09518432617188,84.86805555555559,22.22222222222222,98.91556923596461,98.22712877061629,149.58362479152038,64.7155692359648
1,7,True,False,139.5,22.22222222222222,0.0,yellow,184.9336124736742,120.65240478515625,84.86805555555559,22.22222222222222,100.06555691811862,35.784349229600664,96.53361247367411,11.665556918118526
1,8,True,False,139.0,22.22222222222222,0.0,green,181.8209813621138,189.06813049316406,84.86805555555559,22.22222222222222,96.95292580655821,104.20007493760848,,
2,0,True,False,139.0,22.22222222222222,0.0,red,177.64360483537394,179.11459350585938,84.86805555555559,22.22222222222222,92.77554927981835,94.24653795030379,146.24360483537384,61.37554927981826
2,1,True,False,140.5,22.22222222222222,0.0,red,183.90591626098512,158.19491577148438,84.86805555555559,22.22222222222222,99.03786070542954,73.32686021592879,128.50591626098503,43.637860705429446
2,2,True,False,140.0,22.22222222222222,0.0,green,172.8467967413717,184.82272338867188,84.86805555555559,22.22222222222222,87.9787411858161,99.95466783311629,,
2,3,True,True,139.5,22.22222222222222,0.0,red,179.06408544323813,191.01072692871094,84.86805555555559,22.22222222222222,94.19602988768254,106.14267137315535,156.3640854432383,71.49602988768272
2,4,True,False,139.5,22.22222222222222,0.0,red,174.97201826016226,185.93922424316406,84.86805555555559,22.22222222222222,90.10396270460667,101.07116868760848,152.07201826016217,67.20396270460658
2,5,True,True,140.0,22.22222222222222,0.0,green,178.42282938661356,181.5197296142578,84.86805555555559,22.22222222222222,93.55477383105797,96.65167405870223,,
2,6,True,True,139.5,22.22222222222222,0.0,red,185.9769729369118,182.7368621826172,84.86805555555559,22.22222222222222,101.10891738135622,97.8688066270616,149.276972936912,64.4089173813564
2,7,True,True,139.5,22.22222222222222,0.0,yellow,183.78467028024806,120.4625244140625,84.86805555555559,22.22222222222222,98.91661472469248,35.594468858506914,96.38467028024797,11.516614724692388
2,8,True,True,139.0,22.22222222222222,0.0,green,181.9589652667005,189.06813049316406,84.86805555555559,22.22222222222222,97.0909097111449,104.20007493760848,,
